Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
58,0.99,0.9385199999999999,0.99,0.0,0.0,0.0,0.0,0.0,0.0
59,0.943056,0.92253,0.901194,0.998,0.935126,1.191952,0.975046,0.0,0.0
60,0.7630875,0.932256,0.965096,0.0,0.933156,0.0,0.97755,0.0,0.0
61,0.94905,0.979108,0.0,0.999,0.9500489999999999,1.2250413333333334,0.999,0.0,0.0
62,0.971054,0.9751259999999999,0.0,0.0,0.950096,0.0,0.998,0.0,0.0
63,0.965034,0.9395100000000001,0.0,0.999,0.934065,0.0,0.999,0.0,0.0
64,0.667,0.8994800000000001,0.943162,0.0,0.65625,1.2375200000000002,0.976044,0.0,0.0
65,0.992007,0.9672419999999999,0.0,0.999,0.892107,0.0,0.874125,0.0,0.0
66,0.97804,0.944588,0.9211539999999999,0.998,0.97804,0.0,0.980036,0.0,0.0
67,0.958041,0.974169,0.0,0.999,0.967032,0.0,0.999,0.0,0.0
68,0.0,0.950589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.9130860000000001,0.9411139999999999,0.920304,0.0,0.9977,0.0,0.9977,0.0,0.0
70,0.907182,0.906528,0.9650660000000001,0.0,0.8872220000000001,0.0,0.984028,0.0,0.0
71,0.8917379999999999,0.951258,0.937122,0.0,0.9526125,1.2261973333333331,0.9845325,0.0,0.0
72,0.0,0.878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Volume,33744,33744,24000,20000,33744,24000,33744,200,200
